student_PESEL,matura_id,subject,level,year,classroom,classroom_capacity,teacher_PESEL,subject_teacher,isRetaken,anulled
5929661962,67,Mathematics,basic,2024,Room_6,small,26437583152,Polish,0,NotAnulled
5929661962,68,Polish,basic,2024,Room_21,big,51973405392,Physics,0,NotAnulled
5929661962,69,English,basic,2024,Room_13,big,26437583152,Polish,0,NotAnulled
5929661962,70,Physics,extended,2024,Room_14,small,95635941509,Geography,0,NotAnulled
5929661962,73,Chemistry,extended,2024,Room_20,small,51973405392,Physics,0,NotAnulled
22119467003,67,Mathematics,basic,2024,Room_13,big,52894468092,Geography,0,NotAnulled
22119467003,68,Polish,basic,2024,Room_15,small,19150622889,History,0,NotAnulled
22119467003,69,English,basic,2024,Room_17,big,19150622889,History,0,NotAnulled
22119467003,70,Physics,extended,2024,Room_10,small,24935803837,Geography,0,NotAnulled
22119467003,73,Chemistry,extended,2024,Room_3,big,26437583152,Polish,0,NotAnulled
7353187978,67,Mathematics,basic,2024,Room_12,big,41025702129,English,0,NotAnulled
7353187978,68,Polish,basic,2024,Room_5,big,15187984005,Biology,0,NotAnulled
7353187978,69,English,basic,2024,Room_20,small,18138552030,Polish,0,NotAnulled
7353187978,73,Chemistry,extended,2024,Room_17,big,51937947921,Polish,0,NotAnulled
7353187978,74,Geography,extended,2024,Room_18,small,51973405392,Physics,0,NotAnulled
7353187978,70,Physics,extended,2024,Room_17,big,88515543667,Mathematics,0,NotAnulled
40571370189,67,Mathematics,basic,2024,Room_1,big,52894468092,Geography,0,NotAnulled
40571370189,68,Polish,basic,2024,Room_18,small,95635941509,Geography,0,NotAnulled
40571370189,69,English,basic,2024,Room_12,big,8717912686,Biology,0,NotAnulled
40571370189,77,English,extended,2024,Room_13,big,90391127449,Chemistry,0,NotAnulled
40571370189,70,Physics,extended,2024,Room_18,small,8717912686,Biology,0,NotAnulled
871241447,67,Mathematics,basic,2024,Room_12,big,50945643201,Physics,0,NotAnulled
871241447,68,Polish,basic,2024,Room_8,small,8717912686,Biology,0,NotAnulled
871241447,69,English,basic,2024,Room_2,big,50945643201,Physics,0,NotAnulled
871241447,73,Chemistry,extended,2024,Room_20,small,18138552030,Polish,0,NotAnulled
871241447,77,English,extended,2024,Room_5,big,99010112345,Physical Education,0,NotAnulled
871241447,74,Geography,extended,2024,Room_16,small,58175080694,Polish,0,NotAnulled
66394364655,67,Mathematics,basic,2024,Room_6,small,50945643201,Physics,0,NotAnulled
66394364655,68,Polish,basic,2024,Room_10,small,99010112345,Physical Education,0,NotAnulled
66394364655,69,English,basic,2024,Room_1,big,81165531253,Geography,0,NotAnulled
66394364655,70,Physics,extended,2024,Room_12,big,76846326096,Geography,0,NotAnulled
66394364655,73,Chemistry,extended,2024,Room_8,small,51937947921,Polish,0,NotAnulled
66394364655,76,Polish,extended,2024,Room_19,small,52894468092,Geography,0,NotAnulled
66394364655,71,History,extended,2024,Room_3,big,81165531253,Geography,0,NotAnulled
66394364655,75,Mathematics,extended,2024,Room_5,big,15187984005,Biology,0,NotAnulled
81629077030,67,Mathematics,basic,2024,Room_3,big,26437583152,Polish,0,NotAnulled
81629077030,68,Polish,basic,2024,Room_10,small,76846326096,Geography,0,NotAnulled
81629077030,69,English,basic,2024,Room_12,big,7627861561,Biology,0,NotAnulled
81629077030,74,Geography,extended,2024,Room_5,big,36952721923,Polish,0,NotAnulled
81629077030,71,History,extended,2024,Room_1,big,18138552030,Polish,0,NotAnulled
92723457646,67,Mathematics,basic,2024,Room_13,big,7627861561,Biology,0,NotAnulled
92723457646,68,Polish,basic,2024,Room_17,big,7627861561,Biology,0,NotAnulled
92723457646,69,English,basic,2024,Room_13,big,76846326096,Geography,0,NotAnulled
92723457646,76,Polish,extended,2024,Room_21,big,52894468092,Geography,0,NotAnulled
92723457646,71,History,extended,2024,Room_14,small,73128415155,Chemistry,0,NotAnulled
92723457646,72,Biology,extended,2024,Room_3,big,73128415155,Chemistry,0,NotAnulled
92723457646,74,Geography,extended,2024,Room_7,small,15631219101,English,0,NotAnulled
92723457646,75,Mathematics,extended,2024,Room_10,small,95635941509,Geography,0,NotAnulled
81945420158,67,Mathematics,basic,2024,Room_13,big,26437583152,Polish,0,NotAnulled
81945420158,68,Polish,basic,2024,Room_18,small,50945643201,Physics,0,NotAnulled
81945420158,69,English,basic,2024,Room_5,big,95635941509,Geography,0,NotAnulled
81945420158,70,Physics,extended,2024,Room_10,small,95635941509,Geography,0,NotAnulled
81945420158,76,Polish,extended,2024,Room_15,small,15631219101,English,0,NotAnulled
81945420158,71,History,extended,2024,Room_11,small,24935803837,Geography,0,NotAnulled
81945420158,75,Mathematics,extended,2024,Room_16,small,15631219101,English,0,NotAnulled
36710552676,67,Mathematics,basic,2024,Room_1,big,23041778753,Physics,0,NotAnulled
36710552676,68,Polish,basic,2024,Room_3,big,88515543667,Mathematics,0,NotAnulled
36710552676,69,English,basic,2024,Room_11,small,15187984005,Biology,0,NotAnulled
36710552676,77,English,extended,2024,Room_4,big,95635941509,Geography,0,NotAnulled
36710552676,75,Mathematics,extended,2024,Room_7,small,23041778753,Physics,0,NotAnulled
36710552676,71,History,extended,2024,Room_11,small,95635941509,Geography,0,NotAnulled
29314236296,67,Mathematics,basic,2024,Room_21,big,7627861561,Biology,0,NotAnulled
29314236296,68,Polish,basic,2024,Room_5,big,81359177700,Geography,0,NotAnulled
29314236296,69,English,basic,2024,Room_2,big,97238058536,Chemistry,0,NotAnulled
29314236296,72,Biology,extended,2024,Room_12,big,24935803837,Geography,0,NotAnulled
29314236296,76,Polish,extended,2024,Room_11,small,52894468092,Geography,0,NotAnulled
29314236296,71,History,extended,2024,Room_2,big,60831350511,Biology,0,NotAnulled
29314236296,77,English,extended,2024,Room_8,small,36952721923,Polish,0,NotAnulled
29314236296,74,Geography,extended,2024,Room_16,small,18138552030,Polish,0,NotAnulled
29314236296,73,Chemistry,extended,2024,Room_3,big,81165531253,Geography,0,NotAnulled
50050443078,67,Mathematics,basic,2024,Room_3,big,67239597077,Physics,0,NotAnulled
50050443078,68,Polish,basic,2024,Room_14,small,52894468092,Geography,0,NotAnulled
50050443078,69,English,basic,2024,Room_17,big,15187984005,Biology,0,NotAnulled
50050443078,71,History,extended,2024,Room_10,small,60831350511,Biology,0,NotAnulled
50050443078,76,Polish,extended,2024,Room_4,big,60831350511,Biology,0,NotAnulled
50050443078,70,Physics,extended,2024,Room_21,big,51937947921,Polish,0,NotAnulled
